dep_var,rhs_var,coef,se,pval,stars,nobs,entities,time_periods
amihud_illiq,ind_own,0.0799592090996816,0.023658947211830175,0.0007258735543183015,***,241199,8877,100
amihud_illiq,c_firm_size,0.008215599978001104,0.0016160664906029738,3.704356368317008e-07,***,241199,8877,100
amihud_illiq,c_dollar_vol,-0.02208667989556235,0.0016737148129995422,0.0,***,241199,8877,100
amihud_illiq,ind_own_x_recession,-0.21423951258845222,0.08670239975215305,0.013475214170261873,**,241199,8877,100
volatility,ind_own,-0.06813921800327276,0.023130391855852035,0.003220756934769531,***,240515,8858,100
volatility,c_firm_size,-0.09831815647096759,0.0031082792499203425,0.0,***,240515,8858,100
volatility,c_dollar_vol,0.0746976978128426,0.002403280865457045,0.0,***,240515,8858,100
volatility,ind_own_x_recession,0.13898322433003532,0.10357763909627596,0.1796535629258036,,240515,8858,100
price_info,ind_own,-3.2530042678715927,0.24008390151400044,0.0,***,239758,8855,100
price_info,c_firm_size,-0.3410676140713357,0.026701170593429076,0.0,***,239758,8855,100
price_info,c_dollar_vol,0.14561551867705183,0.014703618189874354,0.0,***,239758,8855,100
price_info,ind_own_x_recession,-0.5590262879458497,0.8015106323724596,0.48551201155323453,,239758,8855,100
