dep_var,size_bucket,tau,mean,n
amihud_illiq,Small,-2,0.07669032745606277,1551
amihud_illiq,Small,-1,0.07444146521946345,1596
amihud_illiq,Small,0,0.07284835877946354,1585
amihud_illiq,Small,1,0.0702884631007005,1556
amihud_illiq,Small,2,0.07656052495808723,1533
amihud_illiq,Mid,-2,0.009123543719476025,1559
amihud_illiq,Mid,-1,0.006741346106054581,1577
amihud_illiq,Mid,0,0.0057186137116234685,1573
amihud_illiq,Mid,1,0.006050798456222543,1547
amihud_illiq,Mid,2,0.005972435338326898,1520
amihud_illiq,Large,-2,0.006385161044401319,1569
amihud_illiq,Large,-1,0.005153114246463624,1587
amihud_illiq,Large,0,0.006550565248374918,1576
amihud_illiq,Large,1,0.006848723355152021,1558
amihud_illiq,Large,2,0.006576324398697056,1516
volatility,Small,-2,0.16908698166146616,1551
volatility,Small,-1,0.1700632003307703,1596
volatility,Small,0,0.15752132234029165,1585
volatility,Small,1,0.1526054497190146,1556
volatility,Small,2,0.1630639243589919,1533
volatility,Mid,-2,0.1792866862596359,1559
volatility,Mid,-1,0.17391385557380915,1577
volatility,Mid,0,0.15981079341330995,1573
volatility,Mid,1,0.1654508415204015,1547
volatility,Mid,2,0.1717884711473174,1520
volatility,Large,-2,0.1991483013123742,1569
volatility,Large,-1,0.2011429679809457,1587
volatility,Large,0,0.19524530383034494,1576
volatility,Large,1,0.18484508953407286,1558
volatility,Large,2,0.19540025588195753,1516
price_info,Small,-2,0.6911644687798159,1551
price_info,Small,-1,0.6867942931119475,1596
price_info,Small,0,0.6523096553268042,1585
price_info,Small,1,0.601715860461934,1556
price_info,Small,2,0.6336857760262943,1533
price_info,Mid,-2,0.7780884030056766,1559
price_info,Mid,-1,0.7984915186646581,1577
price_info,Mid,0,0.7314358787136839,1573
price_info,Mid,1,0.7136426326553015,1547
price_info,Mid,2,0.7537591891084012,1520
price_info,Large,-2,0.8203295863393852,1569
price_info,Large,-1,0.8024119149864405,1587
price_info,Large,0,0.7941174925239946,1576
price_info,Large,1,0.808021518941679,1558
price_info,Large,2,0.814616745269985,1516
